lon,lat,parada,denominacion
-16.433439,28.47715,1260,Cruce Sauzal Bajo (Subiendo)
-16.434449,28.475074,1261,Las Macetas (Csauzal)(subiendo)
-16.433583,28.475304,1262,San Nicolas (Cel Sauzal)(subiendo)
-16.433465,28.470798,1263,Emp El Sauzal N 173 (Rotonda)(subiendo)
-16.432103,28.472091,1264,Ramal Del Sauzal (Bis)
-16.427309,28.473783,1265,La Rueda El Molino (Empsauzal)(bis)
-16.423805,28.473068,1266,El Montillo (Tacoronte) (Bis)
-16.419084,28.474859,1267,La Frontera (Tacoronte) (Bis)
-16.414516,28.477212,1268,Tacoronte
-16.410578,28.477893,1269,El Saldo (Tacoronte) (Bis)
-16.408522,28.478108,1270,Correo Viejo (El Cantillo) (Bis)
-16.40338,28.47882,1271,El Cantillo  (Bis)
-16.398782,28.481576,1272,Torreon (Los Naranjeros) (Bis)
-16.394613,28.483355,1273,Proa (Los Naranjeros) (Bis)
-16.391399,28.485296,1274,Los Naranjeros (Bis)
-16.348769,28.489931,1275,Los Rodeos
-16.274529,28.452475,1279,Tf-5 Chamberí
-16.283785,28.447775,1280,Tf-5 Hu Candelaria
-16.290585,28.447988,1281,Tf-5 Nuevo Obrero
-16.293869,28.456939,1282,Tf-5 Hu De Canarias
-16.307157,28.470133,1283,Pasarela Campus De Guajara
-16.318033,28.48159,1285,Avtrinidad (Trasera Univer-la Laguna)
-16.317722,28.485063,1286,C/pablo Iglesias   (Esqsjuan)
-16.326075,28.490082,1290,Ermita S Benito
-16.322058,28.49268,1291,C/ Marcos Redondo N 6
-16.319253,28.49554,1292,Paseo De Los Oramas (La Manzanilla)
-16.31481,28.499221,1293,C Pozo Cabildo
-16.312419,28.502733,1294,Avda Republica Argentina Km 28oo
-16.30896,28.513956,1298,Entrada P Alvarez
-16.314989,28.514716,1299,Ctratejina (El Palomar)
-16.322499,28.517844,1300,Pedro Alvarez
-16.32807,28.519271,1301,Ctra Tejina (Inst Nuevas Tecnologías)
-16.331672,28.519169,1302,Ctratejina (Campo Futbol Tegueste)
-16.336672,28.521169,1303,Ctra Tejina (Cruce La Iglesia) Tegueste
-16.342447,28.522539,1304,Ctra Tejina (Bar Hortensia)
-16.346032,28.523168,1305,Ctratejina (Las Toscas)
-16.348959,28.523924,1306,Ctratejina (Entrada Al Socorro)
-16.35135,28.524663,1307,Tegueste (Urbanizacin Tamarco)
-16.352827,28.527771,1308,Ctratejina (Cueva Jurada)
-16.35655,28.52955,1309,Ctratejina (La Asomada)
-16.359435,28.529982,1310,Ctratejina (Pata Rajada)
-16.359414,28.531932,1311,Ctratejina (El Cementerio)
-16.360677,28.534625,1312,Tejina (Plaza La Iglesia)
-16.358543,28.535968,1313,Tejina (El Puente)
-16.355922,28.542928,1314,Finca Jover
-16.35271,28.544584,1315,Club Nautico
-16.350423,28.545364,1316,Urb Porlier
-16.348725,28.550809,1317,Bajamar (Los Tejaditos)
-16.345101,28.553493,1318,Bajamar
-16.341257,28.555648,1319,Bajamar (Artesania Mario) N 154
-16.338122,28.555393,1320,Bajamar (H Neptuno)
-16.332004,28.559767,1321,Cuesta Sabanda (La Punta)
-16.330774,28.56408,1322,La Hoya (La Punta)
-16.328369,28.567398,1323,Frente A La Farmacia (La Punta)
-16.325138,28.568682,1324,Iglesia San Mateos (La Punta)
-16.323252,28.569378,1325,El Castillo (La Punta)
-16.319837,28.569461,1326,Finca D Ramon (La Punta)
-16.31808,28.570927,1327,Punta Del Hidalgo
-16.319854,28.569513,1328,Finca Dramon (La Punta) (Bis)
-16.323397,28.569408,1329,El Castillo (La Punta) (Bis)
-16.325245,28.568734,1330,Iglesia San Mateos (La Punta) (Bis)
-16.328579,28.567235,1331,Frente A La Farmacia (La Punta) Bis
-16.330897,28.563943,1332,La Hoya (La Punta) (Bis)
